"Akibatnya , perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antardaerah","Akibaté, perawatan hak kanggo kapentingan tabungan beda-beda ing antarane wilayah"
Beberapa sekolah mengambil inisiatif meminta satker kabupaten/kota untuk mengadakan pelatihan pembuatan laporan,Sawetara sekolah njupuk inisiatif kanggo nyuwun satker kabupaten / kota kanggo nyelenggara latihan nggawe laporan
"Di Jawa Timur , Dinas Pendidikan Kota Pasuruan mengadakan pelatihan pembuatan SPJ yang dilaksanakan selama tiga hari","Ing Jawa Timur, Kantor Pendidikan Kutha Pasuruan nindakaké latihan babagan nggawé SPJ sing dianakaké telung dina"
"Selain itu , satker kota setempat juga menyediakan waktu konsultasi bagi sekolah antara pukul 12.00-17.00","Kajaba iku, satker kutha lokal uga menehi wektu konsultasi kanggo sekolah antara jam 12.00-17.00"
"Di daerah lain , satker kabupaten/kota menyatakan bahwa konsultasi dapat dilakukan kapan saja","Ing wilayah liyane, satker kabupaten / kota nyatakake yen konsultasi bisa wae ditindakake"
"Untuk melakukan konsultasi penyusunan laporan tersebut sekolah harus mengeluarkan biaya , paling tidak untuk transportasi","Kanggo nganakake konsultasi kanggo nyiapake laporan iki, sekolah kudu mbayar, paling ora kanggo transportasi"
"Salah satu salafiyah di Banten , misalnya , memerlukan biaya transportasi antara Rp50.000-Rp100.000 setiap melakukan konsultasi","Salah siji salafiyah ing Banten, contone, mbutuhake biaya transportasi antarane Rp 50.000 lan Rp 100.000 saben konsultasi"
"Di samping itu , sekolah juga mengeluhkan banyaknya waktu yang diperlukan untuk menyusun laporan tersebut","Kajaba iku, sekolah uga ngeluh babagan jumlah wektu sing dibutuhake kanggo nyiapake laporan kasebut"
Mereka perlu menyediakan waktu untuk bolak-balik (antara 3-10 kali) ke kantor dinas pendidikan untuk memperbaiki laporan,Dheweke kudu ngenteni wektu maneh (antara 3-10 kaping) menyang kantor pendidikan kanggo nambah laporan
"Untuk itu , mereka seringkali kehilangan waktu istirahat karena harus kerja lembur atau terpaksa menggunakan waktu mengajar","Mulane, dheweke kerep ilang wektu kanggo istirahat amarga kudu bisa luwih cepet utawa bisa nggunakake waktu ngajar"
Namun ada sekolah yang laporannya hanya dibuat oleh kepala sekolah tanpa melibatkan bendahara,Nanging ana sekolah sing laporan mung digawe dening principal tanpa nglibatake bendahara
"Bila ada guru yang dilibatkan , biasanya hanya guru yang bertugas menjadi bendahara BOS , sedangkan guru lainnya tidak dilibatkan","Yen ana guru sing terlibat, biasane mung guru sing tanggung jawab bendahara BOS, dene guru liyane ora terlibat"
"Komite sekolah yang seharusnya menjadi mitra sekolah pun umumnya tidak dilibatkan dalam pembuatan laporan , ","Komite sekolah sing mesthine minangka mitra sekolah umum ora melu nggawe laporan,"
"Hanya ada beberapa komite sekolah yang dapat mengakses laporan tersebut , namun jumlahnya sangat terbatas","Mung sawetara komite sekolah bisa ngakses laporan kasebut, nanging nomer kasebut winates banget"
Mereka biasanya komite sekolah yang memang aktif berkunjung ke sekolah,Padha biasane sekolah komite sing aktif ngunjungi sekolah
"Kepada orangtua siswa , umumnya pihak sekolah hanya menyampaikan informasi mengenai adanya Program BOS","Kanggo wong tuwa siswa, sekolah mung menehi informasi babagan anané Program BOS"
Masih jarang ditemui adanya sekolah yang melaporkan penggunaan dananya secara rinci kepada orangtua siswa,Ana uga jarang sekolah sing nglaporake panggunaan dana kanthi rinci kanggo wong tuwa siswa
Tim SMERU hanya menemukan dua sekolah sampel yang menyampaikan laporan secara terbuka kepada orangtua siswa,Tim SMERU mung nemokake sekolah sampel sing nyatakake laporan kanthi terang-terangan marang para siswa
Orangtua siswa terkesan â€™tidak peduliâ€™ dengan urusan administrasi penggunaan dana,Para siswa sing pinter ora seneng karo masalah administrasi dana
Mereka cenderung percaya bahwa sekolah menggunakan dananya dengan benar,Dheweke seneng percaya yen sekolah nggunakake dana sing bener
Monev internal dilakukan oleh jajaran pelaksana program sendiri,Pemantauan lan evaluasi internal ditindakake dening jajaran program dhewe
"Monev internal ini bertugas melakukan pemantauan dan supervisi , pembinaan , dan penyelesaian masalah","Monev internal iki ditugasake kanggo ngawasi lan ngawasi, panuntun dhumateng, lan pemecahan masalah"
"Monitoring eksternal , dalam juklak program 2005 , dianggap sebagai bagian dari pengawasan","Pengawasan njaba, ing pedoman operasional taun 2005, dianggep minangka bagean pengawasan"
"perguruan tinggi , DPR , BIN atau tim independen khusus yang ditunjuk pemerintah; 2","guron inggil , DPR , BIN utawi tim independen khusus ingkang dipuntunjuk pamerentah; 2 "
"dewan pendidikan , LSM , BMPS , maupun organisasi masyarakat/kependidikan lainnya; 3","dewan pamucalan , LSM , BMPS , kersaa organisasimasyarakat/kependidikan bentenipun; 3 "
"BPK , BPKP , inspektorat jenderal (Irjen) , dan Badan Pengawasan Daerah (Bawasda) provinsi dan kabupaten/kota; 4","BPK , BPKP , inspektorat jenderal (Irjen) , uga badan Pengawasan Daerah "
"Unit-unit pengaduan masyarakat yang terdapat di sekolah/madrasah , kabupaten/kota , provinsi dan pusat","Unit-unit panggigatan masyarakat ingkang enten ing sekolah/madrasah , kabupaten/kitha , provinsi uga puser "
"Monev internal masih kurang memadai , sedangkan monev eksternal dinilai oleh banyak pihak masih kurang efektif","Monev internal taksih kirang ngenteni , sawegaken moneveksternal dipunaos dening kathah pihak taksih kirang efektif "
Kualitas pelaksanaan monev internal masih dipertanyakan dan lebih terkesan dilaksanakan sebagai formalitas,kwalitas pamontenan monev internal taksih dipuntakenakenaken uga langkung terkesan dipunwontenaken dados formalitas 
Belum semua daerah melaksanakan kegiatan monev internal secara khusus,dereng sedaya daerah nglampahi kengungkukan monev internalsacara khusus 
"Di Kabupaten Lebak , kuesioner disebarkan ke sekolah-sekolah sampel melalui UPTD Pendidikan dan jajaran Kandepag di kecamatan","ing Kabupaten Lebak , kuesioner dipundhawahaken datheng sekolah-sekolah sampel langkung UPTD pamucalan uga jajaranKandepag ing kecamatan "
"Di Kabupaten Tapanuli Utara , kuesioner disebarkan ke semua sekolah melalui UPTD Pendidikan","ing Kabupaten Tapanuli ler , kuesioner dipundhawahaken datheng sedaya sekolah langkung UPTD pamucalan "
Di Kota Pasuruan kegiatan monev agak lebih mendalam,ing kitha Pasuruan kengungkukan monev semu langkung nglebet
Monitoring dilakukan melalui UPTD dan melibatkan pengawas,Monitoring dipuntumindakake langkung UPTD uga melibatkanpengawas 
Meskipun di beberapa daerah kerja sama kegiatan monev antara staf dinas pendidikan dan Kandepag berjalan baik,senaosa ing beberapa daerah nyambut damel sami kengungkukan monev antawis staf dinas pamucalan uga Kandepag mlampah sae
Hal ini melahirkan kecemburuan dan rumor tentang ketidaktransparanan jajaran Kandepag dalam pengelolaan dana monev,Hal niki babaran kecemburuan uga rumor babagan ketidaktransparanan jajaran Kandepag lebet pengelolaan danamonev
"Karena berbagai faktor tersebut , secara umum kegiatan monev internal dianggap kurang memadai","amargi macem-macem faktor kesebat , sacara umumkengungkukan monev internal dipunanggep kirang ngenteni"
"Cukup banyak lembaga yang secara langsung mendatangi sekolah-sekolah tanpa sepengetahuan satker , tidak jelas laporannya","cekap kathah lembaga ingkang sacara lajeng ndhatengi sekolah-sekolah tanpa sepengetahuan satker , mboten pertela laporannya"
hasil pengawasannya juga tidak diberitahukan atau dilaporkan ke satker di tingkat manapun juga,pikantuk pengawasannya ugi mboten dipuntedahaken utawi dilaporkan datheng satker ing tingkat pundia ugi
"Secara langsung BPKP melakukan audit dengan difasilitasi oleh satker provinsi , satker kabupaten/kota","ecara lajeng BPKP numindakake audit kaliyan difasilitasi dening satker provinsi , satker kabupaten/kitha"
Namun berbagai fakta yang ditemukan di lapangan memperlihatkan kurang efisiennya sistem monitoring eksternal yang sudah berjalan,nanging macem-macem fakta ingkang dipunpanggihaken ing lapangan ningalaken kirang efisiennya sistem monitoringeksternal ingkang sampun mlampah
Hanya di Mapenda Kanwil Depag Provinsi Jawa Timur ada dokumen laporan pengaduan,namung ing Mapenda Kanwil Depag Provinsi Jawi wetan enten dokumen laporan panggigatan
Isu ini umumnya bersumber dari masyarakat dan guru,Isu niki umumnya bersumber saking masyarakat uga guru
"Secara umum , proses penyampaian dan penanganan pengaduan dapat dibedakan menjadi tiga kelompok , yaitu","sacara umum , proses penyampaian uga pananganan panggigatan saged dipunpupuran dados telu kelompok , yaiku"
"(i) pengaduan melalui satker , (ii) pengaduan melalui sekolah , dan (iii) pengaduan melalui monev eksternal","(i) panggigatan langkung satker , (ii) panggigatan langkung sekolah , uga (iii) panggigatan langkung monev eksternal"
Siapakah yang berwenang untuk melakukan investigasi bila pengaduan tersebut terkait dengan kinerja pelaksana program,sinten ingkang berwenang konjuk numindakake investigasimenawi panggigatan kesebat terkait kaliyan kinerja pamonten program
"Meski reaksinya cepat dan langsung , pengaduan dan proses penyelesaian semacam ini tidak didokumentasikan dengan baik","senaos reaksinya gelis uga lajeng , panggigatan uga prosespenyelesaian sak-werni niki mboten didokumentasikan kaliyan sae"
Namun dalam kajian ini tidak ditemukan adanya catatan dan dokumentasi pengaduan yang pernah dikumpulkan sekolah-sekolah sampel,nanging lebet kajian niki mboten dipunpanggihaken entenipun catetan uga dokumentasi panggigatan ingkang nate dipunkempalaken sekolah-sekolah sampel
Di banyak sekolah juga tidak terlihat adanya kotak aduan,ing kathah sekolah ugi mboten keningal entenipun kotak gigatan
Keadaan ini juga berpengaruh terhadap minimnya perhatian dan keberanian masyarakat untuk menyampaikan aduan dan kritik ke sekolah,kawontenan niki ugi berpengaruh majeng minimnya mirengan uga kekendhelan masyarakat konjuk ngantosaken gigatan uga kritik datheng sekolah
"Beberapa unsur yang terlibat aktif dalam upaya penanganan pengaduan tersebut di antaranya adalah DPRD , LSM , dan media lokal","Beberapa unsur ingkang terlibat aktif lebet upaya pananganan panggigatan kesebat ing antawisipun yaiku DPRD , LSM , uga miyambakipun lokal"
"Melalui siaran pers , keberadaan unit ini diumumkan ke masyarakat , lengkap dengan nomor telepon yang dapat diakses","langkung siaran pers , kewontenan unit niki diumumkan datheng masyarakat , pepak kaliyan nomor telepon ingkang saged diakses"
"Di Provinsi Banten , kantor pos sebagai penyalur dana BOS , menyediakan kotak pos aduan 6000 hingga 6006 bagi masyarakat","ing Provinsi Banten , kantor pos dados penyalur dana BOS ,nyawisaken kotak pos gigatan 6000 ngantos 6006 kunjuk masyarakat"
Lembaga yang berperanserta dalam monev eksternal tersebut terbilang paling aktif dan reaktif terhadap aduan yang diterima,Lembaga ingkang berperanserta lebet monev eksternal kesebat sanjang paling aktif uga reaktif majeng gigatan ingkang katampi
"Lembaga yang mempunyai kewenangan yang cukup kuat adalah unsur-unsur pengawasan , seperti Bawasda , Irjen dan DPRD","Lembaga ingkang nggadhahi kewenangan ingkang cekap kiyat yaiku unsur-unsur pengawasan , kados Bawasda , Irjen uga DPRD"
"Walaupun demikian , sistem yang belum terkoordinir dengan baik ini sangat tidak menjamin penanganan pengaduan secara memadai","parandosipun , sistem ingkang dereng terkoordinir kaliyan sae niki mboten sanget njamaken pananganan panggigatan sacara ngenteni"
"Namun , hingga kini belum ada upaya tindak lanjut atas keluhan tersebut","nanging , ngantos sakmenika dereng enten upaya tindak lajeng inggil keluhan kesebat"
"Kuat dugaan , minimnya respons instansi terkait tersebut akibat tidakjelasnya peran pengawasan eksternal","kiyat dugaan , minimnya respons instansi terkait kesebat akibat tidakjelasnya sabenan pengawasan eksternal"
Instansi terkait tidak mempunyai kewajiban untuk menindaklanjuti aduan yang disampaikan LSM dan media lokal,Instansi terkait mboten nggadhahi kewajiban konjuk menindaklanjuti gigatan ingkang katur LSM uga miyambakipun lokal
"Selain kesulitan mengakses unit pengaduan formal , tingkat kepercayaan masyarakat terhadap unit internal cenderung minim","kajawi kerekaosan mengakses unit panggigatan formal , tingkat kapitadosan masyarakat majeng unit internal cenderung mini"
Indikasi ini dapat dilihat dari banyaknya anggota masyarakat dan guru yang mengadukan masalah pengelolaan dana BOS kepada LSM,Indikasi niki saged dipunningal saking kathahipun anggotamasyarakat uga guru ingkang nggigataken masalah pengelolaandana BOS dhateng LSM
Namun dalam kenyataannya mereka cenderung bekerja sendiri-sendiri,nanging lebet keyektosanipun piyambake sedaya cenderungnyambut damel piyambak-piyambak
Di beberapa daerah juga ditemukan adanya personel yang dinilai tidak kompeten,ing beberapa daerah ugi dipunpanggihaken entenipun personelingkang dipunaos mboten kompeten
Dinas pendidikan sebagai pimpinan satker cenderung mendominasi aktivitas pengelolaan Program BOS,Dinas pamucalan dados pimpinan satker cenderungmendominasi aktivitas pengelolaan Program BOS
Dominasi itu terasa hingga ke sekolah dan madrasah sebab dalam pelaksanaannya satker banyak memanfaatkan UPTD,Dominasi punika kraos ngantos datheng sekolah uga madrasahamergi lebet pamontenanipun satker kathah ngginakaken UPTD
"UPTD , khususnya di daerah kabupaten berperan di hampir semua tahapan program","UPTD , khususnya ing daerah kabupaten nyabenan ing hampirsedaya tahapan program"
"Akibatnya , komite sekolah cuma menjadi â€œstempelâ€ dari kepentingan pengelola sekolah","pawingkingipun , komite sekolah namung dados â€œstempelâ€saking kewigaten pengelola sekolah"
"Bahkan , di beberapa sekolah swasta yang menjadi sampel kajian ini belum dibentuk komite sekolah","Bahkan , ing beberapa sekolah swasta ingkang dados sampelkajian niki dereng dipunbentuk komite sekolah"
Perkecualian peran dewan pendidikan ditemukan di Kabupaten Tapanuli Utara dan Kabupaten Minahasa Utara,kajawen sabenan dewan pamucalan dipunpanggihaken ing Kabupaten Tapanuli ler uga Kabupaten Minahasa ler
Semua kegiatan ini dibiayai dari dana operasional dewan pendidikan yang diperoleh dari Depdiknas,sedaya kengungkukan niki dibiayai saking dana operasionaldewan pamucalan ingkang dipundeningaken saking Depdiknas
"Pengurus BP3 hanya terdiri dari orangtua siswa , sementara komite sekolah terdiri dari orangtua siswa dan masyarakat lainnya","pangera BP3 namung badan saking tiyang sepuh siswa ,sementara komite sekolah badan saking tiyang sepuh siswa uga masyarakat bentenipun"
Dewan pendidikan juga giat dalam mengampanyekan otonomi sekolah atau manajemen berbasis sekolah (MBS),Dewan pamucalan ugi ngungkuk lebet mengampanyekanotonomi sekolah utawi manajemen berbasis sekolah (MBS)
Melalui mekanisme ini Pemerintah Pusat menyerahkan pelaksanaan program kepada pemerintah provinsi,langkung mekanisme niki pamerentah puser ngabritaken pamontenan program dhateng pamerentah provinsi
"Oleh karenanya , pertanggungjawaban dalam bentuk laporan akhir hanya dibuat oleh satker provinsi dan Satker Pusat","sarehdentenipun , pertanggungjawaban lebet bentuk laporanakhir namung dipundamel dening satker provinsi uga Satkerpuser"
Hal semacam ini merupakan masalah yang biasa terjadi dengan program-program yang dilaksanakan melalui mekanisme dekonsentrasi,Hal sak-werni niki ngrupikaken masalah ingkang biyasa kedadosan kaliyan program-program ingkang dipunwontenaken langkung mekanisme dekonsentrasi
untuk meningkatkan koordinasi dan pertanggungjawaban di tingkat daerah,konjuk ningkataken koordinasi uga pertanggungjawaban ing tingkat daerah
"Namun , ada berbagai kekhawatiran bahwa dampak yang diharapkan tidak dapat tercapai secara optimal karena berbagai faktor","nanging , enten macem-macem kekuwatosan menawi dampakingkang diharapkan mboten saged tercapai sacara optimalamargi macem-macem faktor"
"Uraian di bawah ini akan mendiskusikan hal tersebut , berdasarkan fenomena-fenomena yang ditemukan dalam kajian cepat ini","Uraian ing ngandhap niki badhe mendiskusikan hal kesebat ,berdasarkan fenomena-fenomena ingkang dipunpanggihaken lebet kajian gelis niki"
Persepsi tersebut digali dalam berbagai diskusi kelompok terarah yang diselenggarakan di semua kabupaten/kota sampel,Persepsi kesebat dipunduduk lebet macem-macem diskusikelompok terarah ingkang dipunwontenaken ing sedaya kabupaten/kitha sampel
"Dilihat dari besarnya dana yang diberikan ke sekolah , tentunya Program BOS sangat berpotensi untuk memberikan dampak yang nyata","dipunningal saking agengipun dana ingkang dipunsukakna datheng sekolah , tentunya Program BOS berpotensi sanget konjuk nyukakaken dampak ingkang yektos"
"Walaupun demikian , dari berbagai kenyataan yang ditemukan dalam kajian cepat ini dapat dikenali indikasi-indikasi dampak program","parandosipun , saking macem-macem keyektosan ingkang dipunpanggihaken lebet kajian gelis niki saged kayektosan indikasi-indikasi dampak program"
"Bagi sekolah yang jumlah siswanya banyak , nilai peningkatan penerimaan tersebut cukup signifikan","kunjuk sekolah ingkang wilangan siswanya kathah , aos indhak-indhakan panampen kesebat cekap signifikan"
Peningkatan penerimaan bisa lebih besar karena belum tentu semua murid membayar iuran siswa pada periode-periode sebelumnya,indhak-indhakan panampen sanguh langkung ageng amargi dereng tentu sedaya murid membayar iuran siswa ing periode-periode saderengipun
"Di antara sekolah-sekolah sampel , hanya ada satu sekolah SMP di Kota Cilegon yang penerimaannya menurun setelah adanya BOS","ing antawis sekolah-sekolah sampel , namung enten setunggal sekolah SMP ing kitha Cilegon ingkang panampenipun mandhap saksampune entenipun BOS"
Tingkat perubahan penerimaan sekolah setelah adanya BOS bervariasi antarsekolah,tingkat ewah-ewahan panampen sekolah saksampune entenipun BOS bervariasi antarsekolah
Sementara itu penerimaan sebuah sekolah di Cilegon menurun sekitar 15%,Sementara punika panampen setunggal sekolah ing Cilegonmandhap sekitar 15%
Jumlah sekolah sampel berdasarkan perubahan kelompok penerimaan sebelum dan sesudah menerima BOS disajikan dalam Tabel 2.7,wilangan sekolah sampel berdasarkan ewah-ewahan kelompokpanampen sadereng uga sasampun nampi BOS dipuncawisaken lebet Tabel 2.7
"SD/MI yang mengalami peningkatan adalah 18 sekolah atau sekitar 90% , sedangkan SMP/MTs hanya delapan sekolah atau sekitar 66,7%","SD/mun ingkang ngalami indhak-indhakan yaiku 18 sekolahutawi sekitar 90% , sawegaken SMP/MTs namung wolu sekolahutawi sekitar 66,7%"
"Dengan meningkatnya penerimaan sekolah setelah memperoleh BOS , pengeluaran sekolah untuk biaya operasional pun umumnya meningkat","kaliyan ningkatipun panampen sekolah saksampune ndening BOS , ingkang ngenjawen sekolah konjuk biaya operasional punumumnya ningkat"
"Indikasi peningkatan kualitas pendidikan tersebut , antara lain terlihat dari","Indikasi indhak-indhakan kwalitas pamucalan kesebat , antawis benten keningal saking"
Peningkatan intensitas kegiatan-kegiatan yang berkaitan dengan peningkatan kualitas guru seperti MGMP dan KKG,indhak-indhakan intensitas kengungkukan-kengungkukan ingkang berkaitan kaliyan indhak-indhakan kwalitas guru kados MGMP uga KKG
"Namun , perlu dicatat bahwa dampak kegiatan tersebut akan maksimal bila kualitas kegiatan tersebut dapat dijaga","nanging , betah dipuncatet menawi dampak kengungkukan kesebat badhe maksimal menawi kwalitas kengungkukan kesebat saged dipunjagi"
"Dengan peningkatan penerimaan ini , ada indikasi bahwa semangat mengajar guru meningkat","kaliyan indhak-indhakan panampen niki , enten indikasi menawi semangat mucal guru ningkat"
Biasanya dari iuran siswa yang jauh lebih kecil saja mereka mendapat alokasi,biyasanipun saking iuran siswa ingkang tebih langkung alit kamawon piyambake sedaya nyaged alokasi
"Di beberapa sekolah miskin , peningkatan ini sangat terasa karena dengan biaya operasional yang sangat minim sebelum adanya BOS","ing beberapa sekolah miskin , indhak-indhakan niki kraos sanget amargi kaliyan biaya operasional ingkang minim sanget sadereng entenipun BOS"
"Oleh karenanya , kegiatan belajar-mengajar menjadi sangat membosankan","sarehdentenipun , kengungkukan sinau-mucal dados malehaken sanget"
"Dengan peningkatan sarana bahan ajar , guru menjadi lebih bersemangat dan bebas dalam menerapkan berbagai teknik mengajar","kaliyan indhak-indhakan pirantos badhe wucal , guru dados langkung sumagah uga bebas lebet ngasringaken macem-macem teknik mucal"
"Namun , peningkatan kualitas kegiatan belajar-mengajar ini tentunya perlu didukung dengan peningkatan kemampuan guru","nanging , indhak-indhakan kwalitas kengungkukan sinau-mucal niki tentunya betah didukung kaliyan indhak-indhakan kesagedan guru"
"Peningkatan koleksi buku di sekolah , baik buku pegangan untuk guru maupun bukubuku pelajaran pokok dan buku pelajaran tambahan","indhak-indhakan koleksi buku ing sekolah , sae buku cepengan konjuk guru kersaa bukubuku piwulang baku uga buku piwulang minggahan"
Hampir semua sekolah membuat alokasi yang cukup banyak untuk pembelian buku,Hampir sedaya sekolah ndamel alokasi ingkang cekap kathah konjuk panumbas buku
Koleksi buku perpustakaan sangat minim karena pembelian buku cukup membebani orangtua murid dan adanya insentif rabat pembelian,Koleksi buku perpustakaan minim sanget amargi panumbas bukucekap ngawrat-awrati tiyang sepuh murid uga entenipun insentifrabat panumbas
Peningkatan intensitas dan jenis kegiatan ekstrakurikuler,indhak-indhakan intensitas uga jenis kengungkukan ekstrakurikuler
"Namun , beberapa dinas pendidikan menyatakan adanya indikasi dampak positif dari program ini","nanging , beberapa dinas pamucalan ngginemaken entenipun indikasi dampak positif saking program niki"
Peningkatan APK ini disinyalir terjadi karena peningkatan partisipasi pendidikan di beberapa daerah pelosok,indhak-indhakan APK niki disinyalir kedadosan amargi indhak-indhakan partisipasi pamucalan ing beberapa daerah pelosok
"Walaupun demikian , umumnya para pemangku kepentingan di kota memberikan penilaian yang relatif agak rendah","parandosipun , umumnya para pemangku kewigaten ing kitha nyukakaken pangaosan ingkang relatif semu andhap "
Hal tersebut memang kurang ditekankan dalam sosialisasi maupun dalam perjanjian penerimaan bantuan (kontrak pelaksanaan program),Hal kesebat pancen kirang ditekankan lebet sosialisasi kersaa lebet ujaran panampen bantuan (kontrak pamontenan program) 
"Oleh sebab itu , sekolah cenderung tidak melakukan upaya-upaya khusus untuk mencegah putus sekolah","milanipun punika , sekolah cenderung mboten numindakake upaya-upaya khusus konjuk mencegah putus sekolah "
Tentunya hal ini berdampak pada penurunan biaya pendidikan yang harus dikeluarkan oleh orangtua siswa,Tentunya hal niki berdampak ing pamandhapan biaya pamucalan ingkang kedah dipunmedalaken dening tiyang sepuh siswa 
"Walaupun tidak ada penjelasan resmi dari perusahaan tersebut , kemungkinan hal ini juga dipengaruhi oleh adanya dana BOS","mbasi mboten enten pamertelan resmi saking upadosan kesebat , kebokmenawen hal niki ugi dipengaruhi dening entenipun danaBOS "
"Bahkan , dua pemerintah kota bermaksud untuk meningkatkan anggaran pendidikannya","Bahkan , kalih pamerentah kitha nduwe pangangkah konjuk ningkataken anggaran pamucalanipun "
"Namun di dua kota sampel lainnya , terdapat indikasi bahwa alokasi APBD di bidang pendidikan akan dikurangi","nanging ing kalih kitha sampel bentenipun , enten indikasimenawi alokasi APBD ing bidang pamucalan badhe dipunkirangi "
