"Manusia membutuhkan makanan dan air supaya menjadi kuat dan sehat, begitu juga tanaman","Manungsa butuh pangan lan banyu dadi kuwat lan sehat, supaya tetanduran"
"Pada setiap wilayah dari 14 lokasi survei, masing-masing diwawancarai sekitar 112 rumah tangga","Ing saben wilayah saka 14 lokasi panliten, saben diwawancarai sekitar 112 rumah tangga"
Responden yang diteliti adalah mereka yang memiliki tanah dan menerima sertipikat tanah dari PAP,Responden sing ditinjau yaiku wong-wong sing nduweni tanah lan nampa sertifikat tanah saka PAP
Beberapa informan kunci juga diwawancarai di masing-masing wilayah,Sawetara informan kunci uga diwawancarai ing saben wilayah
"Para informan ini meliputi Kepala BPN tingkat kabupaten dan stafnya, pejabat setempat (bupati dan camat)","Para informan iki kalebu kepala BPN lan para stafe, pejabat lokal (bupati lan bupati)"
"Yang juga dimasukkan sebagai informan adalah para tokoh masyarakat, staf Ornop, pihak bank dan lembaga pemberi kredit lainnya","Uga kalebu informan yaiku pimpinan masyarakat, staf NGO, bank lan institusi kredit liyane"
Sekitar 32 enumerator setempat terlibat selama tiga minggu kerja lapangan,Kira-kira 32 enumerator lokal sing kerja telung minggu ing lapangan
"2 Bukan Peserta PAP, yaitu rumah tangga yang layak memperoleh kesempatan menerima PAP tetapi tidak ikut serta dalam PAP; dan ","2 Bukan Peserta PAP, yaitu rumah tangga yang layak memperoleh kesempatan menerima PAP tetapi tidak ikut serta dalam PAP; dan "
"3 Kelompok Kontrol, yaitu rumah tangga yang tidak mempunyai kesempatan ikut serta dalam PAP","3 Kontrol Grup, yaiku rumah tangga sing ora duwe kesempatan kanggo melu ing PAP"
Dalam laporan ini mereka disebut sebagai Peserta PAP,Ing laporan iki disebutake minangka Peserta PAP
Pada laporan ini mereka disebut sebagai Bukan Peserta PAP,Ing laporan iki disebutake minangka Peserta Non-PAP
Kemudian dari masing-masing kampung/dusun atau RW dipilih dua atau tiga RT yang tidak berdekatan (lihat Annex 2.1),Banjur saka saben desa / dusun utawa RW loro utawa telu RT ora dipilih (pirsani Annex 2.1)
Secara keseluruhan sebanyak 75 rumah tangga harus dipilih di setiap wilayah,"Secara total, 75 rumah tangga kudu dipilih ing saben wilayah"
"Daftar ini semestinya tersedia di setiap desa, tetapi di beberapa wilayah tidak tersedia","Daftar iki kudu disedhiyakake ing saben desa, nanging ing sawetara wilayah, ora ana"
"Pada situasi seperti ini, sistem interval antar rumah diberlakukan (systematic random sampling)","Ing kahanan kaya iki, sistem interval ngarep diimplementasi (sampling acak sacara sistematis)"
Keberadaan rumah tangga ini dapat diketahui dengan bantuan ketua RT setempat,Anane kluwarga iki bisa ditemokake kanthi bantuan saka kepala RT lokal
Rumah tangga yang tinggal di tanah negara tidak dimasukkan dalam pemilihan,Rumah tangga sing manggon ing tanah negara ora kalebu ing pemilihan
"Pada studi ini, responden didefinisikan sebagai rumah tangga yang dapat memberikan informasi tentang pelaksanaan PAP","Ing panliten kasebut, responden kasebut minangka rumah tangga sing bisa menehi informasi babagan implementasine PAP"
Sementara itu anggota rumah tangga yang memberikan informasi untuk melengkapi kuisioner tidak selalu orang yang memiliki tanah,Sedang anggota kulawarga sing nyedhiyakake informasi kanggo ngrampungake kuesioner ora mesthi wong sing duwe tanah
"Pada sebagian besar kasus, kepala keluarga adalah laki-laki","Ing sawetara kasus, kepala kulawarga iku lanang"
Tidak dijumpai kasus dimana kepala keluarga adalah perempuan yang memiliki suami,Ora ana kasus ing endi kepala kulawarga yaiku wanita sing duwe bojo
"Table 2.3 menunjukkan ditribusi 1,596 responden rumah tangga menurut kabupaten atau propinsi",Tabel 2.3 nuduhake distribusi 1.596 responden anggota omah miturut kabupaten utawa provinsi
Tabel 2.4 menunjukkan distribusi responden rumah tangga menurut jenis wilayah dimana mereka tinggal,Tabel 2.4 nuduhake distribusi responden rumah tangga miturut jinis wilayah sing padha urip
Kelompok ini mempunyai pengeluaran rata-rata terendah dan memiliki ukuran rumah tangga yang terbesar,Grup iki nduweni rata-rata paling murah lan nduweni ukuran rumah tangga sing paling gedhé
"Tabel 2.6 dibawah menunjukkan keadaan perumahan, fasilitas, dan kepemilikan rumah tangga diantara ketiga kategori responden","Tabel 2.6 ngisor iki nuduhaké omah omah, fasilitas, lan kepemilikan omah ing antarane telung kategori responden"
"Hal ini mengindikasikan bahwa mereka menggunakan kayu, yang umumnya lebih murah","Iki nuduhake yen dheweke nggunakake kayu, sing umume luwih murah"
Tidak ada alasan untuk mengatakan rumah tangga ini sebagai miskin relatif karena mereka tidak dipilih secara purposive,Ora ana alesan kanggo ngandhani omah-omah iki relatif miskin amarga ora dipilih kanthi purposive
Mereka tinggal di wilayah dimana program PAP dilaksanakan,Padha manggon ing wilayah ngendi program PAP dipun ginakaken
2.2.1 Luas tanah dan penggunaannya Pendaftaran tanah melalui PAP didasarkan pada bidang tanah yang dimiliki masing-masing orang,2.2.1 Luas tanah dan penggunaannya Pendaftaran tanah melalui PAP didasarkan pada bidang tanah yang dimiliki masing-masing orang
"Perbedaan antar propinsi menunjukkan perbedaan antar wilayah (perkotaan, semiperkotaan, dan perdesaan) dimana survei dilakukan","Bedane antarane provinsi nuduhake beda antarane wilayah (urban, semi-urban, lan pedesaan) ing ngendi survey dileksanakake"
Tabel 2.8 menunjukkan rata-rata jumlah dan luas bidang tanah menurut wilayah dan penggunaannya,Tabel 2.8 nuduhake nomer rata-rata lan area parcel miturut wilayah lan panggunaane
Sangat sedikit bidang tanah yang digunakan untuk pertanian atau lainnya,Kira-kira banget sawetara lapangan digunakake kanggo tetanèn utawa liyane
2.2.2 Bidang tanah dengan sertipikat PAP Tabel 2.9 menyajikan secara rinci bidang tanah yang memiliki sertipikat PAP,2.2.2 Plot tanah karo sertifikat PAP Tabel 2.9 nyedhiyakake kanthi rinci plot ing tanah sing duwe sertifikat PAP
Hal ini menjelaskan mengapa angka bidang tanah yang bersertipikat lebih kecil daripada jumlah keseluruhan bidang tanah,Iki jelas ngapa jumlah parsel tanah karo sertifikat luwih cilik tinimbang jumlah total plot tanah
Surat Keputusan untuk memutuskan lokasi tersebut diterbitkan di Jakarta dan dikirim kembali ke tingkat propinsi,Keputusan kanggo mutusake lokasi kasebut ditokake ing Jakarta lan dikirim bali menyang tingkat propinsi
"Dalam memutuskan pilihan lokasi tersebut, Kantor Pertanahan di tingkat kabupaten/kota umumnya menggunakan kebijakan/petunjuk BPN","Kanggo milih lokasi sing dipilih, Kantor Tanah ing tingkat kabupaten / kota kanthi umum nggunakake kebijakan / instruksi BPN"
Petunjuk pelaksanaan yang disiapkan di tingkat nasional berisi daftar area yang menjadi prioritas,Pedoman implementasine disusun ing tingkat nasional ngemot daftar prioritas
Persyaratan lokal kadang-kadang ditambahkan dalam pemilihan lokasi PAP,Syarat lokal kadhangkala ditambahake ing pemilihan lokasi PAP
"Secara khusus, wilayah dimana terdapat tanah negara dihindari untuk dipilih","Utamane, wilayah ngendi tanah negara wis diilangi dipilih"
BPN Pusat di Jakarta biasanya menyetujui lokasi yang dipilih tingkat kabupaten/kota,BPN Pusat ing Jakarta biasane nyetujui lokasi sing dipilih ing tingkat kabupaten / kota
"Hal ini terjadi, misalnya, di sejumlah tempat pada waktu menjelang pemilihan umum","Iki kedadeyan, contone, ing sawetara panggonan sadurunge pemilihan umum"
"Meskipun demikian, hal sebaliknya terjadi di beberapa tempat","Nanging, sebaliknya ana ing sawetara panggonan"
"Di wilayah tersebut diatas, sangat jelas terlihat bahwa lokasi PAP bias terhadap rumah tangga yang tidak beruntung (miskin)","Ing wilayah ndhuwur, jelas banget yen lokasi PAP bias menyang rumah tangga sing disadvantage (miskin)"
"Karena kondisi pemilik tanah yang miskin, tanah tersebut tidak pernah didaftarkan di Kantor Pertanahan","Amarga kondisi landowners miskin, tanah ora tau didaftarake ing Kantor Tanah"
Penyampaian informasi kepada penerima manfaat dilakukan di tingkat RT,Pengajuan informasi kanggo ahli waris digawa ing tingkat RT
"Oleh karena itu, hampir semua anggota masyarakat telah mengetahui PAP sebelum pelaksanaannya dimulai","Mulane, meh kabeh anggota masyarakat ngerti babagan PAP sadurunge implementasine diwiwiti"
"Hasil survei merekam sumber-sumber informasi PAP bagi responden di wilayah perkotaan, semi-perkotaan, dan perdesaan","Hasil panaliten nyathet sumber informasi PAP kanggo responden ing kutha, semi-kutha lan pedesaan"
Lebih dari 90% responden menyatakan bahwa mereka menerima informasi yang memadai tentang persyaratan yang harus dipenuhi,Luwih saka 90% responden nyatakake yen dheweke nampa informasi sing cukup babagan syarat sing kudu ditemokake
"Meskipun demikian, hanya setengah dari responden mendapatkan informasi dari pertemuan formal (Tabel 3.2)","Nanging, mung setengah saka responden nampa informasi saka rapat formal (Tabel 3.2)"
Informasi juga disampaikan secara informal dari mulut ke mulut melalui percakapan dengan teman dan tetangga,Informasi uga dikirim kanthi informal kanthi tembung-tembung liwat obrolan karo kanca lan tanggi
"Ketika pertemuan diadakan, tampak jelas bahwa bahwa kepala rumah tangga (laki-laki, 93,4% kasus) yang diundang","Nalika rapat kasebut dianakaké, kepala rumah tangga (lanang, 93,4% kasus) diundang"
"Hanya dalam jumlah kecil pasangan (suami-istri) yang diundang, tetapi hanya sedikit yang hadir dibandingkan dengan yang diundang","Mung sawetara calon bojo sing diundang, nanging mung sawetara sing diwenehake tinimbang karo sing diundang"
Alasan yang dikemukakan adalah mereka tidak berada ditempat ketika sosialisasi dilakukan atau mereka tinggal di daerah terpencil,Alesané nyatakaké yèn dhèwèké ora ana ing panggonan nalika sosialisasi dilakoni utawa manggon ing tlatah lor
Hal ini menunjukkan sangat lemahnya informasi sehingga mereka tidak menjadi peserta,Iki nuduhake informasi banget supaya ora dadi peserta
Hal ini dilakukan untuk menghindari ketidakpuasan atau serbuan masyarakat,Iki rampung supaya ora puas utawa nyerang masyarakat
Panitia kemudian menyerahkan dokumen kepada base camp Tim Ajudikasi,Panitia banjur ngirim dokumen menyang kamp dasar Tim Adjudication
Hal ini berarti bahwa sewbelumnya mereka telah meratifikasi batas,Iki tegese sadurunge ngratifikasi wates
"Penanganan aplikasi biasanya dilakukan secara kolektif, artinya masyarakat menyerahkan dokumen persyaratan kepada ketua RT","Penanganan aplikasi biasane rampung bebarengan, tegese masyarakat ngirim dokumen sing dibutuhake menyang kepala RT"
Bagi mereka yang tidak menyerahkan dokumen kepada ketua RT dapat langsung menyerahkan dokumennya kepada Tim Ajudikasi,Sing ora ngirim dokumen menyang kepala RT bisa langsung ngirim dokumen menyang Tim Ajudikasi
Responden umumnya harus berulang kali datang ke rumah ketua RT hingga persyaratan dokumen lengkap,Responden umume kudu teka ing omah kepala rumah tangga kanthi bola-bali kanggo ngrampungake syarat dokumen
"Sebagai contoh, bila KTP atau KK telah kadaluwarsa, dengan mudah dapat diperpanjang dengan tanda tangan dan stempel kepala desa","Contone, yen KTP utawa KK wis kadaluwarsa, bisa kanthi gampang ditambahi kanthi tandha lan cap saka kepala desa"
"Bahkan di Malang, kepala desa mendatangi rumah warganya dengan membawa stempel, berjaga-jaga apabila diperlukan","Malah ing Malang, kepala desa teka ing omah warga kanthi cap, mung yen dibutuhake"
"Di beberapa wilayah, surat pernyataan tertulis dari lurah bahwa tanah tersebut tidak sedang dalam sengketa juga diminta","Ing sawetara wilayah, pidhato ditulis saka Lurah yen tanah ora ana ing perselisihan uga dijaluk"
Setengah dari 30 bidang tanah tersebut berada di wilayah semi perkotaan,Setengah saka 30 bandhar tanah ana ing wilayah semi-kutha
"Menurut informan kunci, mereka mengharapkan masalah yang terjadi pada kepemilikan tanah dapat diselesaikan melalui PAP","Miturut informan kunci, padha ngarep-arep yen masalah sing ana ing kepemilikan tanah bisa diselesaikan liwat PAP"
Harapan ini terjadi tetapi hanya pada kasus dimana batas antar bidang tanah sudah lama tidak jelas sebelum adanya PAP,Pengarepan iki kedadean nanging mung ing kasus-kasus sing mbatesi wates antar lahan wis suwe ora cetha sadurunge PAP
Dalam hal ini Tim Ajudikasi menyarankan kepada masyarakat untuk menyelesaikannya sendiri atau kalau perlu diajukan ke pengadilan,"Ing kasus iki, Tim Adjudication menehi saran marang komunitas kanggo mutusake masalah kasebut utawa yen perlu digawa menyang pengadilan"
"Sementara itu, mereka yang tanahnya berselisih tidak dapat diikutsertakan sebagai peserta PAP","Ing kono, wong-wong sing ora bisa disengkuyung bisa dadi peserta PAP"
"Akibatnya, informasi tentang biaya sertipikat hanya dapat digali dari 521 bidang tanah","Minangka asil, informasi babagan tagihan sertifikat mung bisa diekstrak saka 521 bidang tanah"
Responden tersebut yakin bahwa biaya resmi sertipikat berkisar antara Rp10.000 dan Rp13.500 per bidang,Para responden percaya yayasan resmi kanggo sertifikat antara Rp 10.000 lan Rp 13.500 per lapangan
Survei menunjukkan rata-rata biaya sertipikat Rp13.204 atau hanya 53% dari biaya total sertipikasi (lihat Tabel 3.4),Survey kasebut nuduhake yen biaya sertifikat rata-rata yaiku Rp. 13.204 utawa mung 53% saka total biaya sertifikasi (pirsani Tabel 3.4)
Informasi tentang biaya total digali dari 1.513 bidang,"Informasi babagan total biaya digali saka 1,513 lapangan"
Biaya berkisar antara Rp0 sampai Rp100.000 dan lebih tinggi di wilayah perkotaan dan semi-perkotaan daripada di perdesaan,Biaya antara Rp 0 nganti Rp 100.000 lan luwih dhuwur ing wilayah kutha lan semi-kutha tinimbang wilayah pedesaan
Biaya tertinggi di Medan (Sumatra Utara) dan terendah di Jawa Tengah,Biaya paling dhuwur ing Medan (Sumatra Lor) lan sing paling murah ing Jawa Tengah
Hal ini khususnya terjadi di Jawa Barat dan Jakarta,Iki luwih bener ing Jawa Kulon lan Jakarta
Tidak ada bukti bahwa biaya resmi sertipikat PAP sebesar Rp2.500 per bidang di wilayah perdesaan yang ditetapkan BPN diberlakukan,Ora ana bukti yen biaya resmi sertifikat PAP Rp 2.500 per lapangan ing area pedesaan sing ditemtokake dening BPN diimplementasikake
